ID,Level,Page,Type,Question,Answer,OptionA,OptionB,OptionC,OptionD,CorrectOption
499,Novice,1,Toss-up,"This prayer is composed of the words of the Annunciation addressed to the Blessed Virgin by the angel Gabriel, and of the words of Mary's cousin Elizabeth, and a supplication added by the Church.",What is the Hail Mary?,What is seventy times seven?,What is the Agony in the Garden? (or lst Sorrowful Mystery),What is charity (love)?,What is the Hail Mary?,D
500,Novice,1,Toss-up,These are the 5 Joyful Mysteries of the rosary.,What are: (1) The Annunciation (2) The Visitation (3) The Birth of Christ (The Nativity) (4) The Presentation of Jesus in the Temple. (5) The Finding of Jesus in the Temple?,What are: (1) The Annunciation (2) The Visitation (3) The Birth of Christ (The Nativity) (4) The Presentation of Jesus in the Temple. (5) The Finding of Jesus in the Temple?,"What are: prudence, justice, fortitude, and temperance?",What is St. John's Gospel?,What is the Apostles' Creed?,A
501,Novice,1,Toss-up,These are the 5 Sorrowful Mysteries of the rosary.,What are: (1) The Agony in the Garden. (2) The Scourging at the Pillar. (3) The Crowning with Thorns. (4) The Carrying of the Cross. (5) The Crucifixion and Death of Christ?,What is the Bible?,What are: (1) The Agony in the Garden. (2) The Scourging at the Pillar. (3) The Crowning with Thorns. (4) The Carrying of the Cross. (5) The Crucifixion and Death of Christ?,What is genuflection?,What is a miracle?,B
502,Novice,1,Toss-up,These are the 5 Glorious Mysteries of the rosary.,What are: (1) Jesus Rises from the Dead. (2) Jesus Ascends into Heaven. (3) The Holy Spirit Descends upon the Apostles. (4) Mary is Assumed into Heaven (The Assumption) (5) Mary is Crowned Queen of Heaven and Earth?,"What is the sixth day? (Gn. 2:24-31) or ""What is Friday?""",What are: (1) Jesus Rises from the Dead. (2) Jesus Ascends into Heaven. (3) The Holy Spirit Descends upon the Apostles. (4) Mary is Assumed into Heaven (The Assumption) (5) Mary is Crowned Queen of Heaven and Earth?,What is humility?,What is counsel?,B
503,Novice,1,Toss-up,"This mystery describes the visit made by the Blessed Mother of Christ to her cousin, Elizabeth, while Mary was with Child, as recorded in the Gospels.","What is the Second Joyful Mystery, the Visitation of Mary.","What is the Second Joyful Mystery, the Visitation of Mary.",What are the Old Testament and the New Testament?,What is idolatry?,What is penance?,A
504,Novice,1,Toss-up,This medal was struck after the apparitions of St. Catherine Laboure in 1830.,What is the Miraculous Medal?,What is a habit?,What are: 1. Entrance Antiphon - 2. Penitential Rites - 3. Gloria - 4. Opening Prayer?,What is the Miraculous Medal?,What is the Catholic Church?,C
505,Novice,1,Toss-up,"The Third Commandment declares we must ""Keep Holy the Sabbath."" We obey this commandment by following this precept of the Church.","What is ""attend Mass on Sundays and other holy days of obligation.""","What is ""attend Mass on Sundays and other holy days of obligation.""","What are: ""The Apostles' Creed"", ""The Lord's Prayer"", ""The Hail Mary"", and the ""Glory be to the Father""?",What is the sanctuary lamp?,What is the Miraculous Medal?,A
506,Novice,1,Toss-up,This sacred Marian shrine is located in Portugal.,What is Fatima?,"What is ""attend Mass on Sundays and other holy days of obligation.""",What is the chalice?,What is Fatima?,What is out of nothing?,C
507,Novice,1,Toss-up,This is possession of a human person by the devil.,What is diabolic possession?,What is ask? (ask and you shall receive).,What is sanctifying grace?,What is diabolic possession?,What is an Advent Wreath?,C
508,Novice,1,Toss-up,This saint founded the Society of Jesus.,Who is Saint Ignatius of Loyola?,Who is Saint Ignatius of Loyola?,Who is Isaac? (Gn. 22:2),Who is St. Rose of Lima?,"Who is Eve? (Gn. 3:20, 4:1)",A
509,Novice,1,Toss-up,This revered Franciscan established nine missions in California.,Who is Blessed Junipero Serra?,Who is Blessed Junipero Serra?,Who is St. Andrew?,Who is Nebuchadnezzar?,Who is the priest?,A
510,Novice,1,Toss-up,It was to this person that the Virgin Mary declared herself as the Immaculate Conception.,Who is St. Bernadette (Soubirous)?,Who is Judas Iscariot?,Who are the apostles?,Who is St. Bernadette (Soubirous)?,Who is Saint Ignatius of Loyola?,C
511,Novice,1,Toss-up,The Church has dedicated the month of May in honor of this person.,"Who is Mary, the Mother of God?",Who are Venerable Francisco and Venerable Jacinta?,"Who is Mary, the Mother of God?",Who is the Prodigal Son?,Who is St. Francis of Assisi?,B
513,Novice,2,Toss-up,A portrait of the Blessed Virgin appeared on the mantle of this Mexican peasant.,Who is Saint Juan Diego?,Who is Nebuchadnezzar?,Who is Saint Juan Diego?,Who is St. James the Greater?,Who are the Holy Innocents?,B
